id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image_path
11386,Women,Apparel,Topwear,Sweatshirts,Green,Fall,2011.0,Casual,United Colors Of Benetton Women Light Winter Green Sweatshirts,dados/fashion-dataset-roupas/images/11386.jpg
49759,Women,Apparel,Bottomwear,Leggings,Red,Summer,2012.0,Casual,Vishudh Red Leggings,dados/fashion-dataset-roupas/images/49759.jpg
11096,Women,Apparel,Topwear,Sweaters,Purple,Fall,2011.0,Casual,Scullers Women Stripes Purple Sweaters,dados/fashion-dataset-roupas/images/11096.jpg
41311,Girls,Apparel,Bottomwear,Capris,White,Summer,2012.0,Casual,Gini and Jony Girls Fixed Weast White Capris,dados/fashion-dataset-roupas/images/41311.jpg
23332,Women,Apparel,Topwear,Tunics,Maroon,Fall,2011.0,Casual,W Women Maroon Tunic,dados/fashion-dataset-roupas/images/23332.jpg
6026,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,UCB Men's Polo Neck With Big Ben Logo Black T-shirt,dados/fashion-dataset-roupas/images/6026.jpg
15586,Men,Apparel,Topwear,Sweatshirts,Green,Fall,2011.0,Casual,Proline Men Green Printed Sweatshirt,dados/fashion-dataset-roupas/images/15586.jpg
10366,Women,Apparel,Bottomwear,Skirts,Black,Fall,2011.0,Casual,United Colors of Benetton Women Solid Black Skirt,dados/fashion-dataset-roupas/images/10366.jpg
30742,Men,Apparel,Topwear,Nehru Jackets,Blue,Summer,2012.0,Ethnic,Fabindia Men Striped Blue Silk Sleeveless Jacket,dados/fashion-dataset-roupas/images/30742.jpg
12146,Women,Apparel,Topwear,Kurtis,Pink,Fall,2011.0,Ethnic,Aurelia Women Solid Pink Kurtis,dados/fashion-dataset-roupas/images/12146.jpg
56239,Men,Apparel,Loungewear and Nightwear,Night suits,Grey,Summer,2016.0,Casual,SDL by Sweet Dreams Men Grey & Blue Pyjama Set,dados/fashion-dataset-roupas/images/56239.jpg
34059,Boys,Apparel,Bottomwear,Shorts,Grey,Summer,2012.0,Casual,Gini and Jony Boys Grey Shorts,dados/fashion-dataset-roupas/images/34059.jpg
40494,Women,Apparel,Bottomwear,Leggings,Brown,Summer,2012.0,Casual,Femella Women Brown Leggings,dados/fashion-dataset-roupas/images/40494.jpg
32571,Women,Apparel,Topwear,Sweaters,Grey,Summer,2012.0,Casual,ONLY Women Magenta & Grey Sweater,dados/fashion-dataset-roupas/images/32571.jpg
38572,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2012.0,Casual,Nike Men Black AD Striker Track Pants,dados/fashion-dataset-roupas/images/38572.jpg
24605,Women,Apparel,Apparel Set,Kurta Sets,Pink,Fall,2011.0,Ethnic,Vishudh Women Pink Churidar Kurta with Dupatta,dados/fashion-dataset-roupas/images/24605.jpg
30738,Men,Apparel,Topwear,Nehru Jackets,Navy Blue,Summer,2012.0,Ethnic,Fabindia Men Navy Blue Bhagalpur Nehru Jacket,dados/fashion-dataset-roupas/images/30738.jpg
54716,Women,Apparel,Topwear,Kurtas,Beige,Fall,2012.0,Ethnic,Shree Women Pink and Olive Printed Kurta,dados/fashion-dataset-roupas/images/54716.jpg
10777,Women,Apparel,Topwear,Jackets,Purple,Summer,2011.0,Sports,Nike Women Hooded Purple Jacket,dados/fashion-dataset-roupas/images/10777.jpg
43671,Women,Apparel,Topwear,Waistcoat,Pink,Summer,2012.0,Casual,ONLY Women Pink Waistcoat,dados/fashion-dataset-roupas/images/43671.jpg
20206,Women,Apparel,Topwear,Sweatshirts,Black,Fall,2011.0,Casual,Wrangler Women Ann Black Sweatshirt,dados/fashion-dataset-roupas/images/20206.jpg
